Label,area_0,area_1,area_2,area_3,area_4,
Uninfected,15824.5,0,0,0,0,
Uninfected,7046.0,0,0,0,0,
Uninfected,12766.0,0,0,0,0,
Uninfected,7607.5,0,0,0,0,
Uninfected,9937.5,0,0,0,0,
Uninfected,2.0,6.0,2.0,2.0,12949.5,
Uninfected,12605.5,0,0,0,0,
Uninfected,4.0,2.0,2.0,63.0,17233.0,
Uninfected,14382.0,0,0,0,0,
Uninfected,11363.5,0,0,0,0,
Uninfected,12749.0,0,0,0,0,
Uninfected,18641.5,0,0,0,0,
Uninfected,2.0,13824.5,0,0,0,
Uninfected,10340.0,0,0,0,0,
Uninfected,11132.0,0,0,0,0,
Uninfected,10786.0,0,0,0,0,
Uninfected,11198.0,0,0,0,0,
Uninfected,10892.0,0,0,0,0,
Uninfected,15823.5,0,0,0,0,
Uninfected,15225.5,0,0,0,0,
Uninfected,11129.5,0,0,0,0,
Uninfected,9410.0,0,0,0,0,
Uninfected,9515.5,0,0,0,0,
Uninfected,12590.5,0,0,0,0,
Uninfected,12329.0,0,0,0,0,
Uninfected,11717.0,0,0,0,0,
Uninfected,5724.5,0,0,0,0,
Uninfected,12925.5,0,0,0,0,
Uninfected,11331.0,0,0,0,0,
Uninfected,12050.5,0,0,0,0,
Uninfected,11543.0,0,0,0,0,
Uninfected,15380.5,0,0,0,0,
Uninfected,15279.0,0,0,0,0,
Uninfected,10842.5,0,0,0,0,
Uninfected,13112.5,0,0,0,0,
Uninfected,8.5,18476.0,0,0,0,
Uninfected,2.0,20.0,6.0,10483.0,0,
Uninfected,13224.0,0,0,0,0,
Uninfected,11680.0,0,0,0,0,
Uninfected,11603.0,0,0,0,0,
Uninfected,11689.0,0,0,0,0,
Uninfected,8175.0,0,0,0,0,
Uninfected,8673.0,0,0,0,0,
Uninfected,8844.5,0,0,0,0,
Uninfected,21.0,14208.0,0,0,0,
Uninfected,4510.5,0,0,0,0,
Uninfected,35.0,23.0,11253.5,0,0,
Uninfected,18776.5,0,0,0,0,
Uninfected,2.0,9951.5,0,0,0,
Uninfected,10201.5,0,0,0,0,
Uninfected,14581.5,0,0,0,0,
Uninfected,14182.5,0,0,0,0,
Uninfected,0.0,11264.5,0,0,0,
Uninfected,4.0,0.0,0.0,0.0,0.0,
Uninfected,14771.5,0,0,0,0,
Uninfected,13615.5,0,0,0,0,
Uninfected,15703.5,0,0,0,0,
Uninfected,4873.0,0,0,0,0,
Uninfected,8884.0,0,0,0,0,
Uninfected,16208.5,0,0,0,0,
Uninfected,12636.0,0,0,0,0,
Uninfected,12232.5,0,0,0,0,
Uninfected,8061.0,0,0,0,0,
Uninfected,12.5,14050.0,0,0,0,
Uninfected,8329.5,0,0,0,0,
Uninfected,5.5,13353.0,0,0,0,
Uninfected,13852.5,0,0,0,0,
Uninfected,2.0,4.0,4.0,2.0,2.0,
Uninfected,15344.5,0,0,0,0,
Uninfected,11256.5,0,0,0,0,
Uninfected,15619.5,0,0,0,0,
Uninfected,8958.5,0,0,0,0,
Uninfected,14940.0,0,0,0,0,
Uninfected,11472.5,0,0,0,0,
Uninfected,16225.5,0,0,0,0,
Uninfected,11863.5,0,0,0,0,
Uninfected,16216.0,0,0,0,0,
Uninfected,13689.5,0,0,0,0,
Uninfected,12963.5,0,0,0,0,
Uninfected,9977.0,0,0,0,0,
Uninfected,10152.0,0,0,0,0,
Uninfected,10554.0,0,0,0,0,
Uninfected,11753.5,0,0,0,0,
Uninfected,15.5,21709.5,0,0,0,
Uninfected,13581.0,0,0,0,0,
Uninfected,13738.0,0,0,0,0,
Uninfected,14148.0,0,0,0,0,
Uninfected,2.0,12945.5,0,0,0,
Uninfected,10537.5,0,0,0,0,
Uninfected,12339.0,0,0,0,0,
Uninfected,14977.0,0,0,0,0,
Uninfected,8943.0,0,0,0,0,
Uninfected,10.0,4.0,9.0,5341.5,0,
Uninfected,0.0,4.0,2.0,0.0,0.0,
Uninfected,15283.5,0,0,0,0,
Uninfected,13515.5,0,0,0,0,
Uninfected,12167.0,0,0,0,0,
Uninfected,15264.5,0,0,0,0,
Uninfected,2.0,5.5,2.0,2.0,0.0,
Uninfected,10442.5,0,0,0,0,
Uninfected,4.0,14364.5,0,0,0,
Uninfected,14.0,43.5,17085.0,0,0,
Uninfected,15575.5,0,0,0,0,
Uninfected,10834.0,0,0,0,0,
Uninfected,11452.5,0,0,0,0,
Uninfected,8214.5,0,0,0,0,
Uninfected,14514.5,0,0,0,0,
Uninfected,72.0,19.0,4302.0,0,0,
Uninfected,12168.5,0,0,0,0,
Uninfected,12053.5,0,0,0,0,
Uninfected,19008.5,0,0,0,0,
Uninfected,10024.5,0,0,0,0,
Uninfected,11082.0,0,0,0,0,
Uninfected,11559.5,0,0,0,0,
Uninfected,10951.0,0,0,0,0,
Uninfected,11958.0,0,0,0,0,
Uninfected,10018.0,0,0,0,0,
Uninfected,2.0,2.0,4.0,2.0,2.0,
Uninfected,2.0,9661.5,0,0,0,
Uninfected,0.0,2.0,18285.5,0,0,
Uninfected,14106.5,0,0,0,0,
Uninfected,12940.0,0,0,0,0,
Uninfected,8339.5,0,0,0,0,
Uninfected,15466.0,0,0,0,0,
Uninfected,4.0,18972.0,0,0,0,
Uninfected,13184.0,0,0,0,0,
Uninfected,9245.0,0,0,0,0,
Uninfected,13591.5,0,0,0,0,
Uninfected,8692.0,0,0,0,0,
Uninfected,0.0,0.0,0.0,0.0,1.5,
Uninfected,13616.5,0,0,0,0,
Uninfected,15012.5,0,0,0,0,
Uninfected,9832.0,0,0,0,0,
Uninfected,14424.0,0,0,0,0,
Uninfected,10160.5,0,0,0,0,
Uninfected,9523.0,0,0,0,0,
Uninfected,45.5,10054.5,0,0,0,
Uninfected,12711.5,0,0,0,0,
Uninfected,4.0,2.0,2.0,2.0,2.0,
Uninfected,15085.5,0,0,0,0,
Uninfected,10891.5,0,0,0,0,
Uninfected,12053.0,0,0,0,0,
Uninfected,4.0,8.5,7.0,5.5,7.0,
Uninfected,2.0,2.0,4.0,5.5,4.0,
Uninfected,20562.0,0,0,0,0,
Uninfected,11140.0,0,0,0,0,
Uninfected,12771.5,0,0,0,0,
Uninfected,5.5,12726.0,0,0,0,
Uninfected,12293.0,0,0,0,0,
Uninfected,13174.5,0,0,0,0,
Uninfected,78.5,18358.0,0,0,0,
Uninfected,13715.0,0,0,0,0,
Uninfected,8184.5,0,0,0,0,
Uninfected,8594.0,0,0,0,0,
Uninfected,16750.5,0,0,0,0,
Uninfected,32.5,0.0,48.5,14.0,12514.5,
Uninfected,4.0,5.5,2.0,2.0,21.5,
Uninfected,10814.0,0,0,0,0,
Uninfected,11200.0,0,0,0,0,
Uninfected,15743.0,0,0,0,0,
Uninfected,13482.0,0,0,0,0,
Uninfected,14276.0,0,0,0,0,
Uninfected,12342.5,0,0,0,0,
Uninfected,13773.0,0,0,0,0,
Uninfected,0.0,16397.5,0,0,0,
Uninfected,11912.5,0,0,0,0,
Uninfected,9454.5,0,0,0,0,
Uninfected,10669.5,0,0,0,0,
Uninfected,13295.5,0,0,0,0,
Uninfected,11583.0,0,0,0,0,
Uninfected,7168.0,0,0,0,0,
Uninfected,12889.0,0,0,0,0,
Uninfected,13150.5,0,0,0,0,
Uninfected,17511.5,0,0,0,0,
Uninfected,10379.5,0,0,0,0,
Uninfected,2.0,0.0,844.0,11943.0,0,
Uninfected,15155.5,0,0,0,0,
Uninfected,10166.0,0,0,0,0,
Uninfected,15900.0,0,0,0,0,
Uninfected,14617.0,0,0,0,0,
Uninfected,12865.0,0,0,0,0,
Uninfected,13493.5,0,0,0,0,
Uninfected,12228.0,0,0,0,0,
Uninfected,2.0,2.0,2.0,2.0,2.0,
Uninfected,15732.0,0,0,0,0,
Uninfected,8467.5,0,0,0,0,
Uninfected,20387.0,0,0,0,0,
Uninfected,13023.0,0,0,0,0,
Uninfected,6912.5,0,0,0,0,
Uninfected,11280.0,0,0,0,0,
Uninfected,12551.5,0,0,0,0,
Uninfected,13418.0,0,0,0,0,
Uninfected,12207.0,0,0,0,0,
Uninfected,14054.0,0,0,0,0,
Uninfected,12609.5,0,0,0,0,
Uninfected,10907.0,0,0,0,0,
Uninfected,13627.0,0,0,0,0,
Uninfected,8554.5,0,0,0,0,
Uninfected,12148.0,0,0,0,0,
Uninfected,8400.5,0,0,0,0,
Uninfected,14578.0,0,0,0,0,
Uninfected,9641.5,0,0,0,0,
Uninfected,2.0,2.0,5.5,4.0,7.5,
Uninfected,11035.0,0,0,0,0,
Uninfected,14756.5,0,0,0,0,
Uninfected,14278.5,0,0,0,0,
Uninfected,13.0,10116.5,0,0,0,
Uninfected,16374.5,0,0,0,0,
Uninfected,2.0,2.0,2.0,2.0,2.0,
Uninfected,184.5,2.0,11716.0,0,0,
Uninfected,7617.0,0,0,0,0,
Uninfected,11285.0,0,0,0,0,
Uninfected,16334.0,0,0,0,0,
Uninfected,12205.5,0,0,0,0,
Uninfected,10923.0,0,0,0,0,
Uninfected,14680.5,0,0,0,0,
Uninfected,13974.5,0,0,0,0,
Uninfected,13999.5,0,0,0,0,
Uninfected,14340.0,0,0,0,0,
Uninfected,4.0,4.0,7.5,14.0,4.0,
Uninfected,13445.0,0,0,0,0,
Uninfected,67.5,2.0,10751.0,0,0,
Uninfected,10529.0,0,0,0,0,
Uninfected,13843.5,0,0,0,0,
Uninfected,12420.5,0,0,0,0,
Uninfected,9509.5,0,0,0,0,
Uninfected,14369.5,0,0,0,0,
Uninfected,12203.5,0,0,0,0,
Uninfected,9265.5,0,0,0,0,
Uninfected,14418.0,0,0,0,0,
Uninfected,10859.5,0,0,0,0,
Uninfected,7096.5,0,0,0,0,
Uninfected,10009.0,0,0,0,0,
Uninfected,10993.5,0,0,0,0,
Uninfected,15586.0,0,0,0,0,
Uninfected,2.0,13490.5,0,0,0,
Uninfected,10878.0,0,0,0,0,
Uninfected,15735.0,0,0,0,0,
Uninfected,15464.5,0,0,0,0,
Uninfected,14078.5,0,0,0,0,
Uninfected,9544.5,0,0,0,0,
